"No","Title","Duration","Views","Published","URL"
"1","how to optimize your life for success","42:19","7.2K views","2 days ago","https://www.youtube.com/watch?v=RDX3fhFJVyA"
"2","the most dangerous mindset","35:15","15K views","4 days ago","https://www.youtube.com/watch?v=RUk0ZuMBEuU"
"3","you will attract everything when you let go (full course)","2:14:51","14K views","10 days ago","https://www.youtube.com/watch?v=HLcM4dX7Zrg"
"4","how to get unstuck (permanently)","33:42","21K views","12 days ago","https://www.youtube.com/watch?v=m3dpCQ2dk6M"
"5","it’s boring but it'll cure your brain rot forever","48:46","81K views","2 weeks ago","https://www.youtube.com/watch?v=BwF2jiqizUg"
"6","your authentic self is a scam","26:06","18K views","3 weeks ago","https://www.youtube.com/watch?v=dtyYJ_MIMRI"
"7","think in 4 dimensions and your reality will change forever","28:14","35K views","3 weeks ago","https://www.youtube.com/watch?v=QyY0QIgH1CY"
"8","I'm begging you to manage your energy","30:32","78K views","4 weeks ago","https://www.youtube.com/watch?v=ikzHDhWaFv4"
"9","you need to reset, restart and refocus.","30:01","53K views","1 month ago","https://www.youtube.com/watch?v=YC4xG4lmP18"
"10","1,000 hours of focus advice in 28 minutes (science backed)","28:15","47K views","1 month ago","https://www.youtube.com/watch?v=CHMSbPpKVoQ"
"11","i'm begging you to start writing","28:56","49K views","1 month ago","https://www.youtube.com/watch?v=8WdOMEPNimM"
"12","this is boring but it'll change how you attract everything you want","9:32","12K views","1 month ago","https://www.youtube.com/watch?v=BwEC5Xaur6E"
"13","if you want to attract your desires but nothing's working, watch this","8:08","6K views","1 month ago","https://www.youtube.com/watch?v=IqSZWrrGbSE"
"14","the art of manifesting without trying","11:52","7.7K views","1 month ago","https://www.youtube.com/watch?v=kL8GI_EvrOU"
"15","every level of manifestation explained","40:47","26K views","1 month ago","https://www.youtube.com/watch?v=filhDEbQ1zo"
"16","How To Level Up So Fast It Feels Like CHEATING (20+ Hours)","20:02:18","179K views","2 months ago","https://www.youtube.com/watch?v=wvaY5bG5p7A"
"17","How to Talk to Yourself Correctly To Manifest FAST","35:39","135K views","2 months ago","https://www.youtube.com/watch?v=dJVZnQq7ztk"
"18","the gorilla effect: the most underrated way to change your reality","27:53","43K views","2 months ago","https://www.youtube.com/watch?v=b0b0Y4i8kaY"
"19","""outcome fasting"" is the cheat code to success","33:54","28K views","2 months ago","https://www.youtube.com/watch?v=vqpK6urvlb4"
"20","how to become addicted to discipline in 1 hour","44:46","37K views","2 months ago","https://www.youtube.com/watch?v=aU7mYeZhwaU"
"21","how to be so obsessively disciplined it feels dangerous","1:13:26","56K views","2 months ago","https://www.youtube.com/watch?v=mXM6G2YnM5Q"
"22","once you ignore reality, you'll get everything you want","47:16","115K views","2 months ago","https://www.youtube.com/watch?v=mD1ycDjUMDM"
"23","i accidentally discovered a glitch in human productivity","22:39","23K views","3 months ago","https://www.youtube.com/watch?v=ynPmIgH-upc"
"24","this is boring but it'll permanently reshape who you are","25:46","20K views","3 months ago","https://www.youtube.com/watch?v=OxMOVXYNClA"
"25","do this every morning in your 20s and 30s and you'll be untouchable by 40","21:22","135K views","3 months ago","https://www.youtube.com/watch?v=CthbSvnBKeE"
"26","the ancient technique that reprograms your subconscious mind","23:57","41K views","3 months ago","https://www.youtube.com/watch?v=pUMBzzH0QDU"
"27","how to gaslight yourself into a new reality.","1:01:19","44K views","3 months ago","https://www.youtube.com/watch?v=3hn3dYAHtxU"
"28","how to achieve more in 1 week than most people do in 12 months","1:25:45","177K views","3 months ago","https://www.youtube.com/watch?v=gUK1imWyec0"
"29","being UNBALANCED is the only way to win at life","48:00","29K views","4 months ago","https://www.youtube.com/watch?v=e34UMdMNh-k"
"30","the 4 frequencies that FORCE reality to obey you","30:52","40K views","4 months ago","https://www.youtube.com/watch?v=iTTmw4dF2cw"
"31","how to achieve anything by hating your life","18:42","42K views","4 months ago","https://www.youtube.com/watch?v=_1vjxGZgKNg"
"32","how to manifest everything by wanting nothing.","28:13","76K views","4 months ago","https://www.youtube.com/watch?v=-Wvu05GpIyU"
"33","this is boring but you'll stop overthinking forever","32:18","323K views","4 months ago","https://www.youtube.com/watch?v=m9Cn3eaAZNo"
"34","how the top 1% use dopamine to stay disciplined forever","28:29","58K views","4 months ago","https://www.youtube.com/watch?v=dtsl4ILlqXA"
"35","how to start a one-person business in 8 hours (starting with $0)","46:30","51K views","5 months ago","https://www.youtube.com/watch?v=tNJl8beCHAM"
"36","watch this if you're tired of reality constantly fighting against you","31:48","28K views","5 months ago","https://www.youtube.com/watch?v=EkA45Wgk-dA"
"37","OUTWORK everyone by being bored","1:04:49","390K views","5 months ago","https://www.youtube.com/watch?v=_RvNczunfsQ"
"38","disappear and come back unrecognizable in 2026 (9+ hours)","9:05:31","82K views","5 months ago","https://www.youtube.com/watch?v=7ArtuF38MzU"
"39","i'm 29. this took me 10 years to understand.","1:32:14","38K views","6 months ago","https://www.youtube.com/watch?v=kx4jixEJ0qM"
"40","how to reset your entire life by doing nothing.","37:26","45K views","6 months ago","https://www.youtube.com/watch?v=z92uPJHZ4-U"
"41","how to achieve anything effortlessly","31:23","579K views","6 months ago","https://www.youtube.com/watch?v=xL77Py39JQA"
"42","how to reinvent yourself in 30 days in 2026 (full guide)","47:14","62K views","6 months ago","https://www.youtube.com/watch?v=R1xMZJzzH1g"
